task_key,state_id,anchor_label,step,total_score,raw_crossing_bonus,close_streak_bonus,close_onset_qpos_bonus,eef_deceleration_bonus,qpos_ready_bonus,decoded_open_penalty,eef_speed_now,eef_speed_prev,disabled_features,is_close_event_candidate,qpos,close_onset
chocolate_pudding,1,first_trigger,12,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.019773,0.015268,,True,-7.259e-05,1
chocolate_pudding,1,best_candidate,12,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.019773,0.015268,,True,-7.259e-05,1
ketchup,2,Teacher-P,56,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.020838,0.021611,,True,-4.889e-05,1
ketchup,2,Teacher-R,0,1.8,0.0,1.0,0.5,0.0,0.3,0.0,,,,True,1.73e-06,1
ketchup,2,first_trigger,56,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.020838,0.021611,,True,-4.889e-05,1
ketchup,2,best_candidate,56,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.020838,0.021611,,True,-4.889e-05,1
ketchup,3,Teacher-P,55,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.010016,0.015895,,True,-5.331e-05,1
ketchup,3,Teacher-R,55,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.010016,0.015895,,True,-5.331e-05,1
ketchup,3,first_trigger,55,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.010016,0.015895,,True,-5.331e-05,1
ketchup,3,best_candidate,145,3.8,1.5,1.0,0.5,0.5,0.3,0.0,0.002268,0.005599,,True,-0.0001216,1
alphabet_soup,2,Teacher-P,55,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.032227,0.034182,,True,-0.0001201,1
alphabet_soup,2,Teacher-R,55,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.032227,0.034182,,True,-0.0001201,1
alphabet_soup,2,first_trigger,55,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.032227,0.034182,,True,-0.0001201,1
alphabet_soup,2,best_candidate,55,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.032227,0.034182,,True,-0.0001201,1
alphabet_soup,1,Teacher-P,122,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.025982,0.028724,,True,-9.275e-05,1
alphabet_soup,1,Teacher-R,62,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.016849,0.024047,,True,-0.0083546,1
alphabet_soup,1,first_trigger,62,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.016849,0.024047,,True,-0.0083546,1
alphabet_soup,1,best_candidate,89,3.8,1.5,1.0,0.5,0.5,0.3,0.0,0.002197,0.013136,,True,-8.084e-05,1
