condition,fold,state,detector_seed,perturbation_seed,parent_key,mlp_triggered,mlp_emit_step,attack_frames,task_success,n_steps,teacher_anchor,summary_sha256
TRUE_T10,fold_04,state_1,det_seed_2,pert_seed_0,fold_04/state_1,True,87,10,False,400,84,e7dd308839a4bd43
TRUE_T10,fold_04,state_1,det_seed_2,pert_seed_1,fold_04/state_1,True,87,10,False,400,84,f0109aa5c212430a
TRUE_T10,fold_04,state_1,det_seed_2,pert_seed_2,fold_04/state_1,True,87,10,False,400,84,f0109aa5c212430a
TRUE_T10,fold_04,state_1,det_seed_3,pert_seed_0,fold_04/state_1,True,87,10,False,400,84,721aa4602606d709
TRUE_T10,fold_04,state_1,det_seed_3,pert_seed_1,fold_04/state_1,True,87,10,False,400,84,721aa4602606d709
TRUE_T10,fold_04,state_1,det_seed_3,pert_seed_2,fold_04/state_1,True,87,10,False,400,84,623440a145eeba35
TRUE_T10,fold_05,state_4,det_seed_1,pert_seed_0,fold_05/state_4,True,109,10,False,400,106,321764c4099e35cf
TRUE_T10,fold_05,state_4,det_seed_1,pert_seed_1,fold_05/state_4,True,109,10,False,400,106,321764c4099e35cf
TRUE_T10,fold_05,state_4,det_seed_1,pert_seed_2,fold_05/state_4,True,109,10,False,400,106,321764c4099e35cf
TRUE_T10,fold_06,state_0,det_seed_1,pert_seed_0,fold_06/state_0,True,92,10,False,400,93,0c003a0ebb8fc896
TRUE_T10,fold_06,state_0,det_seed_1,pert_seed_1,fold_06/state_0,True,92,10,False,400,93,0c003a0ebb8fc896
TRUE_T10,fold_06,state_0,det_seed_1,pert_seed_2,fold_06/state_0,True,92,10,False,400,93,0c003a0ebb8fc896
TRUE_T10,fold_06,state_0,det_seed_2,pert_seed_0,fold_06/state_0,True,95,10,False,400,93,4cfaaa167fbf45ce
TRUE_T10,fold_06,state_0,det_seed_2,pert_seed_1,fold_06/state_0,True,95,10,False,400,93,4cfaaa167fbf45ce
TRUE_T10,fold_06,state_0,det_seed_2,pert_seed_2,fold_06/state_0,True,95,10,False,400,93,4cfaaa167fbf45ce
TRUE_T10,fold_06,state_0,det_seed_3,pert_seed_0,fold_06/state_0,True,92,10,False,400,93,5a662bfbefc657bc
TRUE_T10,fold_06,state_0,det_seed_3,pert_seed_1,fold_06/state_0,True,92,10,False,400,93,5a662bfbefc657bc
TRUE_T10,fold_06,state_0,det_seed_3,pert_seed_2,fold_06/state_0,True,92,10,False,400,93,5a662bfbefc657bc
TRUE_T10,fold_06,state_1,det_seed_1,pert_seed_0,fold_06/state_1,True,87,10,False,400,86,3c7f62d25639865a
TRUE_T10,fold_06,state_1,det_seed_1,pert_seed_1,fold_06/state_1,True,87,10,False,400,86,3c7f62d25639865a
TRUE_T10,fold_06,state_1,det_seed_1,pert_seed_2,fold_06/state_1,True,87,10,False,400,86,3c7f62d25639865a
TRUE_T10,fold_06,state_1,det_seed_2,pert_seed_0,fold_06/state_1,True,87,10,False,400,86,4c5df258f76230a9
TRUE_T10,fold_06,state_1,det_seed_2,pert_seed_1,fold_06/state_1,True,87,10,False,400,86,4c5df258f76230a9
TRUE_T10,fold_06,state_1,det_seed_2,pert_seed_2,fold_06/state_1,True,87,10,False,400,86,4c5df258f76230a9
TRUE_T10,fold_06,state_1,det_seed_3,pert_seed_0,fold_06/state_1,True,85,10,False,400,86,2130c71e427342f1
TRUE_T10,fold_06,state_1,det_seed_3,pert_seed_1,fold_06/state_1,True,85,10,False,400,86,2130c71e427342f1
TRUE_T10,fold_06,state_1,det_seed_3,pert_seed_2,fold_06/state_1,True,85,10,False,400,86,2130c71e427342f1
TRUE_T10,fold_07,state_0,det_seed_1,pert_seed_0,fold_07/state_0,True,122,10,False,400,119,3e0ebead498ba592
TRUE_T10,fold_07,state_0,det_seed_1,pert_seed_1,fold_07/state_0,True,122,10,False,400,119,3e0ebead498ba592
TRUE_T10,fold_07,state_0,det_seed_1,pert_seed_2,fold_07/state_0,True,122,10,False,400,119,3e0ebead498ba592
TRUE_T10,fold_07,state_0,det_seed_2,pert_seed_0,fold_07/state_0,True,123,10,False,400,119,526396f96d0aa5f8
TRUE_T10,fold_07,state_0,det_seed_2,pert_seed_1,fold_07/state_0,True,123,10,False,400,119,526396f96d0aa5f8
TRUE_T10,fold_07,state_0,det_seed_2,pert_seed_2,fold_07/state_0,True,123,10,False,400,119,526396f96d0aa5f8
TRUE_T10,fold_07,state_0,det_seed_3,pert_seed_0,fold_07/state_0,True,124,10,False,400,119,9478d68f4bfffb47
TRUE_T10,fold_07,state_0,det_seed_3,pert_seed_1,fold_07/state_0,True,124,10,False,400,119,c9b4f23265a06924
TRUE_T10,fold_07,state_0,det_seed_3,pert_seed_2,fold_07/state_0,True,124,10,False,400,119,9478d68f4bfffb47
TRUE_T10,fold_07,state_1,det_seed_1,pert_seed_0,fold_07/state_1,True,174,10,False,400,174,f012988b525c17f2
TRUE_T10,fold_07,state_1,det_seed_1,pert_seed_1,fold_07/state_1,True,174,10,False,400,174,f012988b525c17f2
TRUE_T10,fold_07,state_1,det_seed_1,pert_seed_2,fold_07/state_1,True,174,10,False,400,174,f012988b525c17f2
TRUE_T10,fold_08,state_0,det_seed_1,pert_seed_0,fold_08/state_0,True,86,10,False,400,79,b13c3470a3c47075
