condition,episode_key,parent_key,fold,state,detector_seed,perturbation_seed,artifact_complete,task_success,mlp_triggered_raw,mlp_emit_step_raw,attack_applied_raw,attack_frames_raw,attack_frames_positive,attack_telemetry_present,perturbation_norm_present,perturbation_norm_nonzero,attack_frame_indices_present,command_override_present,target_objective_present,attack_execution_evidence,attack_execution_confidence,attack_semantics_status
RAND_T10,fold_05/state_0/det_seed_1/pert_seed_0,fold_05/state_0/det_seed_1,05,0,1,0,True,True,False,-1,False,0,False,True,True,True,False,True,False,UNKNOWN,LOW,RAW_MATCHES_FRAMES
RAND_T10,fold_05/state_0/det_seed_1/pert_seed_1,fold_05/state_0/det_seed_1,05,0,1,1,True,True,False,-1,False,0,False,True,True,True,False,True,False,UNKNOWN,LOW,RAW_MATCHES_FRAMES
RAND_T10,fold_05/state_0/det_seed_1/pert_seed_2,fold_05/state_0/det_seed_1,05,0,1,2,True,True,False,-1,False,0,False,True,True,True,False,True,False,UNKNOWN,LOW,RAW_MATCHES_FRAMES
RAND_T10,fold_05/state_0/det_seed_2/pert_seed_0,fold_05/state_0/det_seed_2,05,0,2,0,True,True,False,-1,False,0,False,True,True,True,False,True,False,UNKNOWN,LOW,RAW_MATCHES_FRAMES
RAND_T10,fold_05/state_0/det_seed_2/pert_seed_1,fold_05/state_0/det_seed_2,05,0,2,1,True,True,False,-1,False,0,False,True,True,True,False,True,False,UNKNOWN,LOW,RAW_MATCHES_FRAMES
RAND_T10,fold_05/state_0/det_seed_2/pert_seed_2,fold_05/state_0/det_seed_2,05,0,2,2,True,True,False,-1,False,0,False,True,True,True,False,True,False,UNKNOWN,LOW,RAW_MATCHES_FRAMES
RAND_T10,fold_05/state_0/det_seed_3/pert_seed_0,fold_05/state_0/det_seed_3,05,0,3,0,True,True,False,-1,False,0,False,True,True,True,False,True,False,UNKNOWN,LOW,RAW_MATCHES_FRAMES
RAND_T10,fold_05/state_0/det_seed_3/pert_seed_1,fold_05/state_0/det_seed_3,05,0,3,1,True,True,False,-1,False,0,False,True,True,True,False,True,False,UNKNOWN,LOW,RAW_MATCHES_FRAMES
RAND_T10,fold_05/state_0/det_seed_3/pert_seed_2,fold_05/state_0/det_seed_3,05,0,3,2,True,True,False,-1,False,0,False,True,True,True,False,True,False,UNKNOWN,LOW,RAW_MATCHES_FRAMES
RAND_T10,fold_05/state_4/det_seed_1/pert_seed_0,fold_05/state_4/det_seed_1,05,4,1,0,True,True,True,109,False,10,True,True,True,True,False,True,False,CONFIRMED_MULTI_SOURCE,HIGH,RAW_FALSE_FRAMES_POSITIVE
RAND_T10,fold_05/state_4/det_seed_1/pert_seed_1,fold_05/state_4/det_seed_1,05,4,1,1,True,True,True,109,False,10,True,True,True,True,False,True,False,CONFIRMED_MULTI_SOURCE,HIGH,RAW_FALSE_FRAMES_POSITIVE
RAND_T10,fold_05/state_4/det_seed_1/pert_seed_2,fold_05/state_4/det_seed_1,05,4,1,2,True,True,True,109,False,10,True,True,True,True,False,True,False,CONFIRMED_MULTI_SOURCE,HIGH,RAW_FALSE_FRAMES_POSITIVE
RAND_T10,fold_05/state_4/det_seed_2/pert_seed_0,fold_05/state_4/det_seed_2,05,4,2,0,True,True,False,-1,False,0,False,True,True,True,False,True,False,UNKNOWN,LOW,RAW_MATCHES_FRAMES
RAND_T10,fold_05/state_4/det_seed_2/pert_seed_1,fold_05/state_4/det_seed_2,05,4,2,1,True,True,False,-1,False,0,False,True,True,True,False,True,False,UNKNOWN,LOW,RAW_MATCHES_FRAMES
RAND_T10,fold_05/state_4/det_seed_2/pert_seed_2,fold_05/state_4/det_seed_2,05,4,2,2,True,True,False,-1,False,0,False,True,True,True,False,True,False,UNKNOWN,LOW,RAW_MATCHES_FRAMES
RAND_T10,fold_05/state_4/det_seed_3/pert_seed_0,fold_05/state_4/det_seed_3,05,4,3,0,True,True,False,-1,False,0,False,True,True,True,False,True,False,UNKNOWN,LOW,RAW_MATCHES_FRAMES
RAND_T10,fold_05/state_4/det_seed_3/pert_seed_1,fold_05/state_4/det_seed_3,05,4,3,1,True,True,False,-1,False,0,False,True,True,True,False,True,False,UNKNOWN,LOW,RAW_MATCHES_FRAMES
RAND_T10,fold_05/state_4/det_seed_3/pert_seed_2,fold_05/state_4/det_seed_3,05,4,3,2,True,True,False,-1,False,0,False,True,True,True,False,True,False,UNKNOWN,LOW,RAW_MATCHES_FRAMES
RAND_T10,fold_06/state_0/det_seed_1/pert_seed_0,fold_06/state_0/det_seed_1,06,0,1,0,True,True,True,92,False,10,True,True,True,True,False,True,False,CONFIRMED_MULTI_SOURCE,HIGH,RAW_FALSE_FRAMES_POSITIVE
RAND_T10,fold_06/state_0/det_seed_1/pert_seed_1,fold_06/state_0/det_seed_1,06,0,1,1,True,True,True,92,False,10,True,True,True,True,False,True,False,CONFIRMED_MULTI_SOURCE,HIGH,RAW_FALSE_FRAMES_POSITIVE
RAND_T10,fold_06/state_0/det_seed_1/pert_seed_2,fold_06/state_0/det_seed_1,06,0,1,2,True,True,True,92,False,10,True,True,True,True,False,True,False,CONFIRMED_MULTI_SOURCE,HIGH,RAW_FALSE_FRAMES_POSITIVE
RAND_T10,fold_06/state_0/det_seed_2/pert_seed_0,fold_06/state_0/det_seed_2,06,0,2,0,True,True,True,95,False,10,True,True,True,True,False,True,False,CONFIRMED_MULTI_SOURCE,HIGH,RAW_FALSE_FRAMES_POSITIVE
RAND_T10,fold_06/state_0/det_seed_2/pert_seed_1,fold_06/state_0/det_seed_2,06,0,2,1,True,True,True,95,False,10,True,True,True,True,False,True,False,CONFIRMED_MULTI_SOURCE,HIGH,RAW_FALSE_FRAMES_POSITIVE
RAND_T10,fold_06/state_0/det_seed_2/pert_seed_2,fold_06/state_0/det_seed_2,06,0,2,2,True,True,True,95,False,10,True,True,True,True,False,True,False,CONFIRMED_MULTI_SOURCE,HIGH,RAW_FALSE_FRAMES_POSITIVE
RAND_T10,fold_06/state_0/det_seed_3/pert_seed_0,fold_06/state_0/det_seed_3,06,0,3,0,True,True,True,92,False,10,True,True,True,True,False,True,False,CONFIRMED_MULTI_SOURCE,HIGH,RAW_FALSE_FRAMES_POSITIVE
RAND_T10,fold_06/state_0/det_seed_3/pert_seed_1,fold_06/state_0/det_seed_3,06,0,3,1,True,True,True,92,False,10,True,True,True,True,False,True,False,CONFIRMED_MULTI_SOURCE,HIGH,RAW_FALSE_FRAMES_POSITIVE
RAND_T10,fold_06/state_0/det_seed_3/pert_seed_2,fold_06/state_0/det_seed_3,06,0,3,2,True,True,True,92,False,10,True,True,True,True,False,True,False,CONFIRMED_MULTI_SOURCE,HIGH,RAW_FALSE_FRAMES_POSITIVE
RAND_T10,fold_06/state_1/det_seed_1/pert_seed_0,fold_06/state_1/det_seed_1,06,1,1,0,True,True,True,87,False,10,True,True,True,True,False,True,False,CONFIRMED_MULTI_SOURCE,HIGH,RAW_FALSE_FRAMES_POSITIVE
RAND_T10,fold_06/state_1/det_seed_1/pert_seed_1,fold_06/state_1/det_seed_1,06,1,1,1,True,True,True,87,False,10,True,True,True,True,False,True,False,CONFIRMED_MULTI_SOURCE,HIGH,RAW_FALSE_FRAMES_POSITIVE
RAND_T10,fold_06/state_1/det_seed_1/pert_seed_2,fold_06/state_1/det_seed_1,06,1,1,2,True,True,True,87,False,10,True,True,True,True,False,True,False,CONFIRMED_MULTI_SOURCE,HIGH,RAW_FALSE_FRAMES_POSITIVE
RAND_T10,fold_06/state_1/det_seed_2/pert_seed_0,fold_06/state_1/det_seed_2,06,1,2,0,True,True,True,87,False,10,True,True,True,True,False,True,False,CONFIRMED_MULTI_SOURCE,HIGH,RAW_FALSE_FRAMES_POSITIVE
RAND_T10,fold_06/state_1/det_seed_2/pert_seed_1,fold_06/state_1/det_seed_2,06,1,2,1,True,True,True,87,False,10,True,True,True,True,False,True,False,CONFIRMED_MULTI_SOURCE,HIGH,RAW_FALSE_FRAMES_POSITIVE
RAND_T10,fold_06/state_1/det_seed_2/pert_seed_2,fold_06/state_1/det_seed_2,06,1,2,2,True,True,True,87,False,10,True,True,True,True,False,True,False,CONFIRMED_MULTI_SOURCE,HIGH,RAW_FALSE_FRAMES_POSITIVE
