condition,fold,state,detector_seed,perturbation_seed,parent_key,mlp_triggered,mlp_emit_step,attack_frames,task_success,n_steps,teacher_anchor,summary_sha256
CLEAN,fold_06,state_0,det_seed_2,pert_seed_1,fold_06/state_0,True,95,0,True,157,93,ab4c91d4b6c60f58
CLEAN,fold_06,state_0,det_seed_2,pert_seed_2,fold_06/state_0,True,95,0,True,157,93,ab4c91d4b6c60f58
CLEAN,fold_06,state_0,det_seed_3,pert_seed_0,fold_06/state_0,True,92,0,True,157,93,dcf0a399ba355c98
CLEAN,fold_06,state_0,det_seed_3,pert_seed_1,fold_06/state_0,True,92,0,True,157,93,dcf0a399ba355c98
CLEAN,fold_06,state_0,det_seed_3,pert_seed_2,fold_06/state_0,True,92,0,True,157,93,dcf0a399ba355c98
CLEAN,fold_06,state_1,det_seed_1,pert_seed_0,fold_06/state_1,True,87,0,True,147,86,dabe50f2880d0cde
CLEAN,fold_06,state_1,det_seed_1,pert_seed_1,fold_06/state_1,True,87,0,True,147,86,dabe50f2880d0cde
CLEAN,fold_06,state_1,det_seed_1,pert_seed_2,fold_06/state_1,True,87,0,True,147,86,dabe50f2880d0cde
CLEAN,fold_06,state_1,det_seed_2,pert_seed_0,fold_06/state_1,True,87,0,True,147,86,440edab5e4a6526e
CLEAN,fold_06,state_1,det_seed_2,pert_seed_1,fold_06/state_1,True,87,0,True,147,86,440edab5e4a6526e
CLEAN,fold_06,state_1,det_seed_2,pert_seed_2,fold_06/state_1,True,87,0,True,147,86,440edab5e4a6526e
CLEAN,fold_06,state_1,det_seed_3,pert_seed_0,fold_06/state_1,True,85,0,True,147,86,cdb9c57cc816e085
CLEAN,fold_06,state_1,det_seed_3,pert_seed_1,fold_06/state_1,True,85,0,True,147,86,cdb9c57cc816e085
CLEAN,fold_06,state_1,det_seed_3,pert_seed_2,fold_06/state_1,True,85,0,True,147,86,cdb9c57cc816e085
CLEAN,fold_07,state_0,det_seed_1,pert_seed_0,fold_07/state_0,True,122,0,True,186,119,278cad45496bb7b0
CLEAN,fold_07,state_0,det_seed_1,pert_seed_1,fold_07/state_0,True,122,0,True,186,119,278cad45496bb7b0
CLEAN,fold_07,state_0,det_seed_1,pert_seed_2,fold_07/state_0,True,122,0,True,186,119,278cad45496bb7b0
CLEAN,fold_07,state_0,det_seed_2,pert_seed_0,fold_07/state_0,True,123,0,True,186,119,a769e3ce328011ca
CLEAN,fold_07,state_0,det_seed_2,pert_seed_1,fold_07/state_0,True,123,0,True,186,119,a769e3ce328011ca
CLEAN,fold_07,state_0,det_seed_2,pert_seed_2,fold_07/state_0,True,123,0,True,186,119,a769e3ce328011ca
CLEAN,fold_07,state_0,det_seed_3,pert_seed_0,fold_07/state_0,True,124,0,True,186,119,43937015035acfcc
CLEAN,fold_07,state_0,det_seed_3,pert_seed_1,fold_07/state_0,True,124,0,True,186,119,43937015035acfcc
CLEAN,fold_07,state_0,det_seed_3,pert_seed_2,fold_07/state_0,True,124,0,True,186,119,43937015035acfcc
CLEAN,fold_07,state_1,det_seed_1,pert_seed_0,fold_07/state_1,True,174,0,True,228,174,df55d1e63920cfad
CLEAN,fold_07,state_1,det_seed_1,pert_seed_1,fold_07/state_1,True,174,0,True,228,174,df55d1e63920cfad
CLEAN,fold_07,state_1,det_seed_1,pert_seed_2,fold_07/state_1,True,174,0,True,228,174,df55d1e63920cfad
CLEAN,fold_07,state_1,det_seed_2,pert_seed_0,fold_07/state_1,False,-1,0,True,228,174,8ca81866d6d98652
CLEAN,fold_07,state_1,det_seed_2,pert_seed_1,fold_07/state_1,False,-1,0,True,228,174,8ca81866d6d98652
CLEAN,fold_07,state_1,det_seed_2,pert_seed_2,fold_07/state_1,False,-1,0,True,228,174,8ca81866d6d98652
CLEAN,fold_07,state_1,det_seed_3,pert_seed_0,fold_07/state_1,False,-1,0,True,228,174,ab0f5b0eeec3bbcf
CLEAN,fold_07,state_1,det_seed_3,pert_seed_1,fold_07/state_1,False,-1,0,True,228,174,ab0f5b0eeec3bbcf
CLEAN,fold_07,state_1,det_seed_3,pert_seed_2,fold_07/state_1,False,-1,0,True,228,174,ab0f5b0eeec3bbcf
CLEAN,fold_08,state_0,det_seed_1,pert_seed_0,fold_08/state_0,True,86,0,True,143,79,593b8e96942fb261
CLEAN,fold_08,state_0,det_seed_1,pert_seed_1,fold_08/state_0,True,86,0,True,143,79,593b8e96942fb261
CLEAN,fold_08,state_0,det_seed_1,pert_seed_2,fold_08/state_0,True,86,0,True,143,79,593b8e96942fb261
CLEAN,fold_08,state_0,det_seed_2,pert_seed_0,fold_08/state_0,True,85,0,True,143,79,c2e210cd970cc1f4
CLEAN,fold_08,state_0,det_seed_2,pert_seed_1,fold_08/state_0,True,85,0,True,143,79,c2e210cd970cc1f4
CLEAN,fold_08,state_0,det_seed_2,pert_seed_2,fold_08/state_0,True,85,0,True,143,79,c2e210cd970cc1f4
CLEAN,fold_08,state_0,det_seed_3,pert_seed_0,fold_08/state_0,True,86,0,True,143,79,c48df0ae8dd4c450
CLEAN,fold_08,state_0,det_seed_3,pert_seed_1,fold_08/state_0,True,86,0,True,143,79,c48df0ae8dd4c450
CLEAN,fold_08,state_0,det_seed_3,pert_seed_2,fold_08/state_0,True,86,0,True,143,79,c48df0ae8dd4c450
CLEAN,fold_08,state_2,det_seed_1,pert_seed_0,fold_08/state_2,True,91,0,True,149,84,3cd93e3be3cf2e5d
CLEAN,fold_08,state_2,det_seed_1,pert_seed_1,fold_08/state_2,True,91,0,True,149,84,3cd93e3be3cf2e5d
CLEAN,fold_08,state_2,det_seed_1,pert_seed_2,fold_08/state_2,True,91,0,True,149,84,3cd93e3be3cf2e5d
CLEAN,fold_08,state_2,det_seed_2,pert_seed_0,fold_08/state_2,True,92,0,True,149,84,2ac4b31243f8473b
CLEAN,fold_08,state_2,det_seed_2,pert_seed_1,fold_08/state_2,True,92,0,True,149,84,2ac4b31243f8473b
CLEAN,fold_08,state_2,det_seed_2,pert_seed_2,fold_08/state_2,True,92,0,True,149,84,2ac4b31243f8473b
CLEAN,fold_08,state_2,det_seed_3,pert_seed_0,fold_08/state_2,True,94,0,True,149,84,c2fd3c56f8234fbb
CLEAN,fold_08,state_2,det_seed_3,pert_seed_1,fold_08/state_2,True,94,0,True,149,84,c2fd3c56f8234fbb
CLEAN,fold_08,state_2,det_seed_3,pert_seed_2,fold_08/state_2,True,94,0,True,149,84,c2fd3c56f8234fbb
CLEAN,fold_09,state_0,det_seed_1,pert_seed_0,fold_09/state_0,True,87,0,True,156,85,c962d743c7fa8a41
CLEAN,fold_09,state_0,det_seed_1,pert_seed_1,fold_09/state_0,True,87,0,True,156,85,c962d743c7fa8a41
CLEAN,fold_09,state_0,det_seed_1,pert_seed_2,fold_09/state_0,True,87,0,True,156,85,c962d743c7fa8a41
CLEAN,fold_09,state_0,det_seed_2,pert_seed_0,fold_09/state_0,True,87,0,True,156,85,119724cd597a518a
CLEAN,fold_09,state_0,det_seed_2,pert_seed_1,fold_09/state_0,True,87,0,True,156,85,119724cd597a518a
CLEAN,fold_09,state_0,det_seed_2,pert_seed_2,fold_09/state_0,True,87,0,True,156,85,119724cd597a518a
CLEAN,fold_09,state_0,det_seed_3,pert_seed_0,fold_09/state_0,True,88,0,True,156,85,3c92bf9570956991
CLEAN,fold_09,state_0,det_seed_3,pert_seed_1,fold_09/state_0,True,88,0,True,156,85,3c92bf9570956991
CLEAN,fold_09,state_0,det_seed_3,pert_seed_2,fold_09/state_0,True,88,0,True,156,85,3c92bf9570956991
CLEAN,fold_09,state_1,det_seed_1,pert_seed_0,fold_09/state_1,True,76,0,True,132,72,a65a2a0a8e07c400
CLEAN,fold_09,state_1,det_seed_1,pert_seed_1,fold_09/state_1,True,76,0,True,132,72,a65a2a0a8e07c400
CLEAN,fold_09,state_1,det_seed_1,pert_seed_2,fold_09/state_1,True,76,0,True,132,72,a65a2a0a8e07c400
CLEAN,fold_09,state_1,det_seed_2,pert_seed_0,fold_09/state_1,True,75,0,True,132,72,a8056f6a54864eba
CLEAN,fold_09,state_1,det_seed_2,pert_seed_1,fold_09/state_1,True,75,0,True,132,72,a8056f6a54864eba
CLEAN,fold_09,state_1,det_seed_2,pert_seed_2,fold_09/state_1,True,75,0,True,132,72,a8056f6a54864eba
CLEAN,fold_09,state_1,det_seed_3,pert_seed_0,fold_09/state_1,True,76,0,True,132,72,89f41042e9044576
