job_id,suite,task_idx,evaluation_seed,condition,arm_lock,n_steps,task_success,attack_frames,bridge_sha,mlp_emit,summary_ok,telemetry_size,telemetry_ok
p8_libero_spatial_t08_e123_clean,libero_spatial,8,123,CLEAN,False,109,True,0,84d1242554782952,-1,True,199071,True
p8_libero_spatial_t08_e123_random,libero_spatial,8,123,RANDOM,False,400,False,0,84d1242554782952,-1,True,746227,True
p8_libero_spatial_t08_e123_untargeted_ce,libero_spatial,8,123,UNTARGETED_CE,False,99,True,0,84d1242554782952,-1,True,184029,True
p8_libero_spatial_t08_e123_tma_nolock,libero_spatial,8,123,TMA_NOLOCK,False,79,True,0,84d1242554782952,-1,True,147811,True
p8_libero_spatial_t08_e123_tma_armlock,libero_spatial,8,123,TMA_ARMLOCK,True,107,True,0,84d1242554782952,-1,True,198942,True
p8_libero_spatial_t08_e123_prefix_nolock,libero_spatial,8,123,PREFIX_NOLOCK,False,400,False,0,84d1242554782952,-1,True,787064,True
p8_libero_spatial_t08_e123_prefix_armlock,libero_spatial,8,123,PREFIX_ARMLOCK,True,136,True,0,84d1242554782952,-1,True,258630,True
p8_libero_spatial_t08_e456_clean,libero_spatial,8,456,CLEAN,False,400,False,0,84d1242554782952,274,True,694106,True
p8_libero_spatial_t08_e456_random,libero_spatial,8,456,RANDOM,False,400,False,0,84d1242554782952,-1,True,756758,True
p8_libero_spatial_t08_e456_untargeted_ce,libero_spatial,8,456,UNTARGETED_CE,False,400,False,0,84d1242554782952,-1,True,750834,True
p8_libero_spatial_t08_e456_tma_nolock,libero_spatial,8,456,TMA_NOLOCK,False,400,False,0,84d1242554782952,-1,True,761631,True
p8_libero_spatial_t08_e456_tma_armlock,libero_spatial,8,456,TMA_ARMLOCK,True,400,False,0,84d1242554782952,-1,True,765689,True
p8_libero_spatial_t08_e456_prefix_nolock,libero_spatial,8,456,PREFIX_NOLOCK,False,400,False,10,84d1242554782952,330,True,749206,True
p8_libero_spatial_t08_e456_prefix_armlock,libero_spatial,8,456,PREFIX_ARMLOCK,True,400,False,0,84d1242554782952,-1,True,772422,True
p8_libero_spatial_t09_e42_clean,libero_spatial,9,42,CLEAN,False,122,True,0,84d1242554782952,-1,True,223595,True
p8_libero_spatial_t09_e42_random,libero_spatial,9,42,RANDOM,False,120,True,0,84d1242554782952,-1,True,221188,True
p8_libero_spatial_t09_e42_untargeted_ce,libero_spatial,9,42,UNTARGETED_CE,False,113,True,0,84d1242554782952,-1,True,210784,True
p8_libero_spatial_t09_e42_tma_nolock,libero_spatial,9,42,TMA_NOLOCK,False,116,True,0,84d1242554782952,-1,True,216509,True
