task,state_id,n_csv,n_live,n_frozen,count_ok,step_mismatches,abstain_mismatches,feat_mismatches,max_feat_diff,score_mismatches,max_score_diff,emit_match,live_emit,frozen_emit
butter,32,11,11,11,True,0,0,0,1.000000000001e-06,8,1.7999999999997185e-05,True,45,45
butter,45,3,3,3,True,0,0,0,1.000000000001e-06,2,8.000000000001062e-06,True,52,52
chocolate_pudding,0,19,19,19,True,0,0,1,2.0000000000000486e-06,8,1.5000000000001124e-05,True,49,49
chocolate_pudding,2,4,4,4,True,0,0,0,1.9999999999998318e-06,3,1.5000000000001124e-05,True,58,58
chocolate_pudding,3,4,4,4,True,0,0,1,2.0000000000000486e-06,3,1.8999999999991246e-05,True,59,59
chocolate_pudding,8,31,31,31,True,0,0,1,2.0000000000000486e-06,15,1.4999999999999389e-05,True,268,268
chocolate_pudding,10,3,3,3,True,0,0,1,2.0000000000000486e-06,2,1.4999999999999985e-05,True,62,62
chocolate_pudding,11,20,20,20,True,0,0,0,1.0000000000001327e-06,13,1.0999999999997123e-05,True,44,44
chocolate_pudding,22,12,12,12,True,0,0,1,2.0000000000000215e-06,7,1.5000000000001124e-05,True,54,54
chocolate_pudding,23,2,2,2,True,0,0,0,4.723701477063816e-09,0,0.0,True,47,47
chocolate_pudding,36,26,26,26,True,0,0,0,1.000000000001e-06,14,1.299999999999999e-05,True,53,53
chocolate_pudding,37,25,25,25,True,0,0,0,1.9999999999999995e-06,12,1.2999999999999123e-05,True,16,16
chocolate_pudding,40,6,6,6,True,0,0,0,1.000000000001e-06,4,7.000000000007001e-06,True,54,54
chocolate_pudding,47,3,3,3,True,0,0,0,1.000000000001e-06,3,7.000000000000062e-06,True,59,59
cream_cheese,1,8,8,8,True,0,0,1,2.0000000000000486e-06,8,1.2000000000012001e-05,True,56,56
cream_cheese,2,4,4,4,True,0,0,0,1.000000000001e-06,4,9.999999999996123e-06,True,59,59
cream_cheese,4,7,7,7,True,0,0,0,1.000000000001e-06,3,9.000000000009e-06,True,52,52
cream_cheese,14,7,7,7,True,0,0,0,1.9999999999999995e-06,6,1.1000000000000593e-05,True,-1,-1
cream_cheese,20,5,5,5,True,0,0,0,1.0000000000001327e-06,2,1.1000000000000593e-05,True,53,53
cream_cheese,21,18,18,18,True,0,0,1,2.0000000000002655e-06,8,1.4999999999997654e-05,True,105,105
cream_cheese,25,9,9,9,True,0,0,0,1.99999999999994e-06,8,1.2000000000012001e-05,True,58,58
cream_cheese,29,20,20,20,True,0,0,0,1.0000000000001327e-06,10,7.000000000000062e-06,True,59,59
cream_cheese,34,9,9,9,True,0,0,1,2.0000000000000486e-06,3,7.999999999994123e-06,True,20,20
cream_cheese,42,2,2,2,True,0,0,0,1.000000000001e-06,2,7.000000000007001e-06,True,48,48
cream_cheese,47,3,3,3,True,0,0,0,1.000000000001e-06,2,4.000000000004e-06,True,43,43
cream_cheese,49,4,4,4,True,0,0,0,1.000000000001e-06,1,1.0000000000010001e-05,True,42,42
ketchup,2,2,2,2,True,0,0,0,9.999999999975306e-07,1,1.0000000000010001e-05,True,56,56
ketchup,7,5,5,5,True,0,0,1,2.0000000000000486e-06,2,2.2000000000001185e-05,True,61,61
ketchup,9,6,6,6,True,0,0,0,1.0000000000001327e-06,3,5.999999999999062e-06,True,66,66
ketchup,10,6,6,6,True,0,0,1,2.0000000000000486e-06,4,1.2000000000005062e-05,True,-1,-1
ketchup,18,5,5,5,True,0,0,1,2.0000000000000486e-06,4,5.999999999978245e-06,True,52,52
