job_id,pair_id,task,state_id,condition,env_seed,attack_seed,window_start,window_end,window_size,n_total_steps,infra_status,decoded_open_count,longest_streak,qpos_delta,success,valid,is_retry
520112,k5c_phys_butter,butter,0,vis_pgd,0,1,135,145,11,150,ok,5,3,0.030018,0,True,False
520042,k5c_rand_alpha,alphabet_soup,0,vis_pgd,0,1,55,65,11,70,ok,0,0,0.003084,0,True,False
520032,k5c_rand_oj,orange_juice,1,vis_pgd,1,1,50,60,11,65,ok,2,1,0.00645,0,True,False
520150,k5c_sentinel_milk_gold,milk,0,vis_pgd,0,0,70,80,11,85,ok,10,9,0.065256,0,True,False
520138,k5c_phys_salad,salad_dressing,2,vis_pgd,2,4,75,85,11,90,ok,4,2,0.035012,0,True,False
520027,k5c_rand_cream,cream_cheese,2,random_linf,2,3,65,75,11,80,ok,2,2,0.008693,0,True,False
520055,k5c_cmd_tomato_early,tomato_sauce,0,random_linf,0,2,50,60,11,65,ok,0,0,0.000325,0,True,False
520116,k5c_phys_butter,butter,0,vis_pgd,0,3,135,145,11,150,ok,3,1,0.001081,0,True,False
520141,k5c_phys_bbq,bbq_sauce,0,random_linf,0,0,70,80,11,85,ok,4,2,0.029289,0,True,False
520101,k5c_cmd_butter,butter,0,random_linf,0,0,80,90,11,95,ok,2,1,0.003458,0,True,False
520004,k5c_rand_butter1,butter,0,vis_pgd,0,2,90,100,11,105,ok,10,10,0.071272,0,True,False
520145,k5c_phys_bbq,bbq_sauce,0,random_linf,0,2,70,80,11,85,ok,0,0,0.019876,0,True,False
520069,k5c_cmd_milk_neg,milk,0,random_linf,0,4,235,245,11,250,ok,2,2,0.00569,0,True,False
520062,k5c_cmd_milk_neg,milk,0,vis_pgd,0,1,235,245,11,250,ok,11,11,0.071312,0,True,False
520014,k5c_rand_butter2,butter,0,vis_pgd,0,2,95,105,11,110,ok,6,5,0.053483,0,True,False
520003,k5c_rand_butter1,butter,0,random_linf,0,1,90,100,11,105,ok,2,2,0.014583,0,True,False
520103,k5c_cmd_butter,butter,0,random_linf,0,1,80,90,11,95,ok,1,1,0.003128,0,True,False
520081,k5c_cmd_salad_neg,salad_dressing,1,random_linf,1,0,55,65,11,70,ok,0,0,0.001207,0,True,False
520131,k5c_phys_salad,salad_dressing,2,random_linf,2,0,75,85,11,90,ok,2,2,0.0218,0,True,False
520092,k5c_cmd_alpha,alphabet_soup,0,vis_pgd,0,1,65,75,11,80,ok,4,3,0.023713,0,True,False
