task,state_id,steps,success,has_privileged,has_rgb,run_dir
ketchup,3,165,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_state3
ketchup,4,143,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_state4
ketchup,5,134,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_state5
ketchup,6,279,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_state6
ketchup,7,162,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_state7
ketchup,8,204,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_state8
ketchup,9,169,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_state9
milk,0,150,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state0
milk,1,133,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state1
milk,2,219,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state2
milk,3,290,False,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state3
milk,4,135,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state4
milk,5,251,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state5
milk,6,290,False,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state6
milk,7,138,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state7
milk,8,162,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state8
milk,9,166,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state9
orange_juice,0,223,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_state0
orange_juice,1,146,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_state1
