task_key,state_id,window_start,window_end,label_status,mechanism_type,taxonomy,logit_margin_min,logit_margin_max,logit_margin_mean,logit_margin_std,logit_margin_range,entropy_mean,entropy_max,top2_margin_min,top2_margin_mean,open_mass_max,open_mass_mean,all_action_entropy_mean,low_margin_step_count,longest_low_margin_streak,n_steps
ketchup,5,9,26,negative,negative_unclassified,action_positive_physical_positive_task_negative,-58.873836588034564,-43.47792186131,-52.32534951820938,3.889668351164495,15.395914726724563,1.5238511732857458e-05,0.0002528770128265023,3.9285714626312256,9.549107087983025,1.3115311796015953e-19,7.577835997795257e-21,0.32028464424527353,0,0,18
milk,4,19,36,positive,physical_bridge_positive,claim_usable,-55.687479877194725,-40.37432586541655,-47.531923004671285,4.32670866466161,15.313154011778174,3.7043299035606956e-06,5.1164402975700796e-05,5.75,9.935019784503513,2.9218167837014044e-18,2.677002241770076e-19,0.36394035319487256,0,0,18
bbq_sauce,5,27,44,negative,negative_unclassified,action_positive_physical_positive_task_negative,-59.87493540258127,-39.87491262269699,-53.18383304336204,4.9237879039746355,20.000022779884283,8.862332284328053e-07,8.89712396201503e-07,8.428571701049805,10.764880922105577,4.8144355969296305e-18,2.6799754962318037e-19,0.36739743625124294,0,0,18
milk,1,8,25,positive,physical_bridge_positive,claim_usable,-56.316117018425736,-39.27600387572976,-47.38104990850232,5.011017591959826,17.04011314269598,8.930419141961465e-07,9.923587640514597e-07,6.107142925262451,8.321428537368774,8.76290987264791e-18,6.939394417567825e-19,0.3326437089385258,0,0,18
bbq_sauce,0,30,47,ignore,?,polluted,-54.5623476711264,-32.876456699647775,-45.43978439466246,6.239941208143561,21.685890971478628,0.0006703198375501213,0.011260908097028732,5.4285712242126465,8.765376885732016,5.2715239467972415e-15,3.1878321775741423e-16,0.43649156557189095,0,0,18
alphabet_soup,8,29,46,ignore,?,polluted,-55.343474918150704,-34.56400379009051,-45.16758835831607,6.561524379298551,20.779471128060194,0.005061501678413707,0.09009566903114319,3.8035714626312256,8.184523728158739,9.75088552890508e-16,9.6405444367289e-17,0.4547528086437119,0,0,18
alphabet_soup,4,4,21,positive,physical_bridge_positive,claim_usable,-57.911188997017874,-44.70696415272672,-50.880061238546006,4.151783919754071,13.204224844291154,0.00026255404338194747,0.004699711687862873,4.9464287757873535,8.597718159357706,3.837181647943244e-20,3.9693183194074415e-21,0.4141896797551049,0,0,18
alphabet_soup,0,3,20,ignore,?,weak_physical_uncertain,-56.761201126186194,-39.82770659835408,-50.11442825515675,4.463046990700949,16.933494527832117,2.876702087127746e-05,0.000500284309964627,4.392857074737549,9.084821409649319,5.0471578991877495e-18,2.849434845213092e-19,0.354911756184366,0,0,18
butter,0,29,46,positive,physical_bridge_positive,action_positive_physical_strong_task_positive,-55.871365722216794,-40.43708539536189,-49.689408844795565,4.448022618096126,15.434280326854903,9.926776366834626e-07,2.805677013384411e-06,5.267857074737549,7.277777804268731,2.7440806922772885e-18,2.130858486841361e-19,0.4868582756155067,0,0,18
ketchup,0,16,33,positive,physical_bridge_positive,action_positive_physical_strong_task_positive,-61.45495657921204,-39.35769245352283,-50.72281762778774,5.823142453335983,22.097264125689208,1.871720274316936e-05,0.00020129101176280528,4.642857074737549,7.848214228947957,8.075536845686757e-18,5.171080193586826e-19,0.40448018660147983,0,0,18
